Project,Outcome,Weight,Weight_Type,Suitability,SLM_Direct,SLM_Direct_SE,SLM_Indirect,SEM_Coef,SDM_Local
NLE,income,dist_5843,Distance,5,1096.015,546.968,258.896,1203.583,1096.015
NLE,income,dist_2922,Distance,4,1977.847,931.451,-1730.839,1577.543,1977.847
NLE,income,dist_11687,Distance,3,NA,NA,NA,1325.787,681.739
NLE,crime_rate,dist_5843,Distance,5,NA,NA,NA,0,-0.001
NLE,crime_rate,dist_2922,Distance,4,0.001,0.006,-0.002,-0,0.001
NLE,crime_rate,dist_11687,Distance,3,NA,NA,NA,-0,0.001
NLE,house_price,dist_5843,Distance,5,4645.546,24260.773,22994.778,9885.27,4645.546
NLE,house_price,dist_2922,Distance,4,2781.922,33660.168,8723.08,8999.393,2781.922
NLE,house_price,dist_11687,Distance,3,NA,NA,NA,7576.255,-7448.743
NLE,mobility,dist_5843,Distance,5,NA,NA,NA,-0.006,-0.007
NLE,mobility,dist_2922,Distance,4,0.002,0.01,-0.011,-0.006,0.002
NLE,mobility,dist_11687,Distance,3,NA,NA,NA,-0.007,-0.008
BRE,income,dist_5992,Distance,5,3613.246,361.651,-2801.905,3652.298,3613.246
BRE,income,dist_2996,Distance,4,3890.759,344.419,-2163.407,3817.254,3890.759
BRE,income,dist_11985,Distance,3,NA,NA,NA,3510.298,6048.73
BRE,crime_rate,dist_5992,Distance,5,-0.003,0.003,-0.016,-0.003,-0.003
BRE,crime_rate,dist_2996,Distance,4,-0.004,0.004,0.007,-0.001,-0.004
BRE,crime_rate,dist_11985,Distance,3,NA,NA,NA,-0.001,-0.005
BRE,house_price,dist_5992,Distance,5,-21181.813,8415.842,63583.768,-22553.352,-21181.813
BRE,house_price,dist_2996,Distance,4,-23544.069,8599.609,12745.716,-23274.951,-23544.069
BRE,house_price,dist_11985,Distance,3,NA,NA,NA,-23843.162,-17094.473
BRE,mobility,dist_5992,Distance,5,-0.087,0.025,-0.032,-0.084,-0.087
BRE,mobility,dist_2996,Distance,4,-0.086,0.028,-0.032,-0.088,-0.086
BRE,mobility,dist_11985,Distance,3,NA,NA,NA,-0.079,-0.067
