Project,Outcome,Weight,Weight_Type,Suitability,SLM_Direct,SLM_Direct_SE,SLM_Indirect,SEM_Coef,SDM_Local
NLE,income,knn_5,KNN,5,365.74,1506.385,289.628,1387.924,365.74
NLE,income,knn_10,KNN,4,1286.024,1225.022,-816.744,1449.655,1286.024
NLE,crime_rate,knn_5,KNN,5,0.017,0.015,-0.018,0,0.017
NLE,crime_rate,knn_10,KNN,4,0.006,0.01,-0.008,-0,0.006
NLE,house_price,knn_5,KNN,5,39432.044,54206.298,-33066.235,8995.552,39432.044
NLE,house_price,knn_10,KNN,4,7700.061,41909.821,3967.877,10775.266,7700.061
NLE,mobility,knn_5,KNN,5,0.018,0.011,-0.024,-0.006,0.018
NLE,mobility,knn_10,KNN,4,0.008,0.011,-0.014,-0.006,0.008
BRE,income,knn_5,KNN,5,3996.807,385.05,-3644.382,3798.677,3996.807
BRE,crime_rate,knn_5,KNN,5,-0.002,0.004,0.001,-0,-0.002
BRE,house_price,knn_5,KNN,5,-24150.776,7176.813,20870.957,-22826.051,-24150.776
BRE,mobility,knn_5,KNN,5,NA,NA,NA,-0.09,-0.101
