Weight,Weight_Type,Suitability,SLM_Direct,SLM_Direct_SE,SLM_Indirect,SLM_Indirect_SE,SLM_Total,SLM_Rho,SEM_Coef,SEM_SE,SEM_Lambda,SDM_Local,SDM_Local_SE,SDM_Spatial,SDM_Spatial_SE,Project,Outcome
dist_5843,Distance,5,1096.015,546.968,258.896,1369.967,11372.923,0.881,1203.583,NA,NA,1096.015,546.968,258.896,1369.967,NLE,income
knn_5,KNN,5,365.74,1506.385,289.628,1542,1713.872,0.618,1387.924,NA,NA,365.74,1506.385,289.628,1542,NLE,income
dist_2922,Distance,4,1977.847,931.451,-1730.839,1222.478,651.689,0.621,1577.543,NA,NA,1977.847,931.451,-1730.839,1222.478,NLE,income
knn_10,KNN,4,1286.024,1225.022,-816.744,1316.827,1726.402,0.728,1449.655,NA,NA,1286.024,1225.022,-816.744,1316.827,NLE,income
dist_11687,Distance,3,NA,NA,NA,NA,NA,NA,1325.787,NA,NA,681.739,686.464,-8439.023,10240.194,NLE,income
dist_5843,Distance,5,NA,NA,NA,NA,NA,NA,0,NA,NA,-0.001,0.003,0.006,0.021,NLE,crime_rate
knn_5,KNN,5,0.017,0.015,-0.018,0.017,-0.001,0.137,0,NA,NA,0.017,0.015,-0.018,0.017,NLE,crime_rate
dist_2922,Distance,4,0.001,0.006,-0.002,0.011,-0.001,-0.041,-0,NA,NA,0.001,0.006,-0.002,0.011,NLE,crime_rate
knn_10,KNN,4,0.006,0.01,-0.008,0.012,-0.001,-0.071,-0,NA,NA,0.006,0.01,-0.008,0.012,NLE,crime_rate
dist_11687,Distance,3,NA,NA,NA,NA,NA,NA,-0,NA,NA,0.001,0.004,0.052,0.065,NLE,crime_rate
dist_5843,Distance,5,4645.546,24260.773,22994.778,47901.991,16082.731,-0.719,9885.27,NA,NA,4645.546,24260.773,22994.778,47901.991,NLE,house_price
knn_5,KNN,5,39432.044,54206.298,-33066.235,55804.404,6378.113,0.002,8995.552,NA,NA,39432.044,54206.298,-33066.235,55804.404,NLE,house_price
dist_2922,Distance,4,2781.922,33660.168,8723.08,41911.889,11016.738,-0.044,8999.393,NA,NA,2781.922,33660.168,8723.08,41911.889,NLE,house_price
knn_10,KNN,4,7700.061,41909.821,3967.877,44177.809,14333.017,0.186,10775.266,NA,NA,7700.061,41909.821,3967.877,44177.809,NLE,house_price
