LSOA11CD,LSOA11NM,area_num,imd2004,imd2007,imd2010,imd2015,imd2019,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2022,PTAL_Value_2005,PTAL_Value_2007,PTAL_Value_2015,PTAL_Value_2010,PTAL_Value_2023,PTAL_Value_2012,PTAL_Value_2014,PTAL_Value_2019,PTAL_Value_2020,PTAL_Category_2005,PTAL_Category_2007,PTAL_Category_2015,PTAL_Category_2010,PTAL_Category_2023,PTAL_Category_2012,PTAL_Category_2014,PTAL_Category_2019,PTAL_Category_2020,median_price_2014,median_price_2015,dist_to_nle_station,dist_to_bre_station,treatment,dist,ptal_baseline,imd_baseline,geometry,distance,weights,subclass
E01003034,Lambeth 012A,111750.31688069738,29.2,28.09,25.26,22.237,18.498,1768,1808,1783,1828,1793,1836,1789,1827,1770,1739,1618,1639,8.033761,8.839638,10.543,10.879545,12.424594,10.137796,10.10675,13.320127,13.316433,2,2,3,3,3,3,3,3,3,527445.75,690250,1244.4445320497334,18435.168935087302,1,1244.4445320497334,10.10675,25.26,"list(list(c(529380.185000001, 529486.035000022, 529444.767000038, 529465.436999988, 529350.706999992, 529340.901999893, 529293.817999995, 529246.925000013, 529246.09500008, 529136.915000099, 529088.952999915, 529072.999999978, 529133.999999983, 529088.910999944, 529101.625000022, 529181.874999911, 529162.635000009, 529246.378000119, 529293.313000073, 529316.354000067, 529365.574000078, 529380.185000001, 176234.487000113, 176075.697000108, 176038.679000095, 175959.41199993, 175928.886999973, 175952.356000107, 
175945.016999999, 175875.439, 175988.312000077, 175987.481000121, 176013.094000058, 176044.999999932, 176083.999999999, 176222.652000097, 176201.954000003, 176272.312000028, 176295.769999912, 176365.406, 176346.906999975, 176321.580999923, 176256.383999922, 176234.487000113)))",0.024793001460501556,1,1
E01003089,Lambeth 008A,132796.2024659207,46.67,41.42,34.14,35.489,31.444,1892,1959,1924,1927,1845,1810,1814,1840,1820,1781,1946,1907,9.156255,10.919051,12.0319,9.706538,13.451592,10.967459,11.35114,12.814288,12.693781,2,3,3,2,3,3,3,3,3,348500,374375,600.746910672099,17806.119668858802,1,600.746910672099,11.35114,34.14,"list(list(c(529887.278999836, 529994.011, 529897.961000042, 529847.792999929, 529799.000000046, 529717.952000151, 529669.945000103, 529696.001999919, 529659.533000034, 529619.609999933, 529596.859999975, 529561.959999855, 529518.000999925, 529471.822000129, 529436.999999877, 529360.99999984, 529323.791, 529388.124999918, 529493.130999942, 529521.307000151, 529590.003999901, 529639.992000033, 529662.687000061, 529639.736000121, 529630.03699986, 529639.761999965, 529685.999999898, 529689.813000107, 
529742.733999913, 529837.218999979, 529869.209000031, 529887.278999836, 176708.983000163, 176536.029000059, 176570.206999987, 176528.42399998, 176522.000999892, 176432.434000126, 176374.139000093, 176329.996999942, 176293.932999929, 176340.628000093, 176376.809000076, 176303.197999899, 176367.000999926, 176331.531000149, 176305.00099994, 176404.000000069, 176400.642000154, 176419.749999833, 176552.713999952, 176524.845000046, 176514.580999969, 176573.041000124, 176636.479999983, 176668.375000035, 
176675.896000101, 176757.822999894, 176791.719000065, 176836.984000071, 176819.185000037, 176768.351999933, 176730.772000147, 176708.983000163)))",0.029829071409859628,1,2
E01003091,Lambeth 008B,79039.64127147279,35.48,32.64,28.25,31.232,23.431,1678,1684,1607,1637,1608,1620,1636,1597,1602,1597,1677,1691,8.271532,9.973664,11.2054,11.058889,12.778736,9.616748,10.461022,12.955297,12.955297,2,2,3,3,3,2,3,3,3,337625,384000,1061.2117570962043,18141.34045530189,1,1061.2117570962043,10.461022,28.25,"list(list(c(529360.999999925, 529437.000000114, 529471.821999887, 529518.000999977, 529561.959999952, 529596.859999958, 529619.609999985, 529659.533000093, 529605.000000068, 529621.786999948, 529665.173999917, 529756.924, 529753.201999922, 529689.000000046, 529564.999999969, 529543.761999994, 529491.400999887, 529486.034999969, 529380.184999885, 529365.573999959, 529316.354000075, 529293.313, 529323.790999937, 529360.999999925, 176404.000000043, 176305.000999922, 176331.531000082, 176367.001000076, 
176303.198000053, 176376.80900001, 176340.627999927, 176293.933000099, 176240.000000099, 176216.419000071, 176248.359000078, 176191.312000097, 176187.514000035, 176121.999000028, 176042.999999957, 176082.82200009, 176066.498999948, 176075.697, 176234.487000027, 176256.38400009, 176321.58100004, 176346.907000115, 176400.64199997, 176404.000000043)))",0.02638712331766693,1,3
E01003092,Lambeth 008C,159513.6585405469,51.78,45.68,37.97,42.678,36.627,1793,1817,1758,1762,1923,1903,1908,1937,1967,1921,2333,2280,11.875217,12.150325,14.3351,14.270313,18.604214,12.79731,12.4061,18.94244,18.793284,3,3,3,3,4,3,3,4,4,289000,457875,630.8210348591692,17691.54484398861,1,630.8210348591692,12.4061,37.97,"list(list(c(530033.710000018, 530017.59600012, 530071.298999966, 530133.999999926, 530096.105999929, 530138.00099987, 530221.622, 530163.363000022, 530120.00000007, 530109.999000144, 530065.999999922, 529969.999999897, 529905.000000038, 529786.755000023, 529756.923999861, 529665.174000068, 529621.786999955, 529605, 529659.532999881, 529696.002000001, 529669.944999952, 529717.952000011, 529798.99999994, 529847.793000047, 529897.961000002, 529994.011000054, 529887.278999964, 529921.312999887, 530033.710000018, 
176632.113000132, 176494.928999865, 176407.433999874, 176338.968999978, 176293.333999847, 176238.047000134, 176225.366000058, 176184.665999988, 176229.000000153, 176131.999999874, 176137.999999856, 176137.999999856, 176139.00000011, 176222.733999922, 176191.312, 176248.359000148, 176216.419000133, 176239.999999863, 176293.933000023, 176329.997000039, 176374.139000145, 176432.434000057, 176522.001000115, 176528.424000015, 176570.207000126, 176536.028999851, 176708.983000006, 176720.250000126, 176632.113000132
)))",0.0323100608970623,1,4
E01003093,Lambeth 010B,74071.12069639657,44.12,44.5,39.55,37.407,33.26,2374,2496,2581,2605,2668,2681,2628,2638,2609,2551,2223,2193,23.231404,24.819102,29.4133,28.307059,27.572602,28.768555,26.378285,30.113332,30.102658,5,5,6a,6a,6a,6a,6a,6a,6a,284250,355000,969.0212467338969,17283.34754508246,1,969.0212467338969,26.378285,39.55,"list(list(c(530614.242000057, 530670.059999981, 530644.265999884, 530615.369999919, 530650.488000014, 530623.999999944, 530600.797999986, 530566.513000104, 530524.43599989, 530459.502000085, 530468.999999888, 530423.41200003, 530346.437000019, 530427.758000123, 530440.725000042, 530504.905999945, 530544.980000063, 530604.276000054, 530636.034999936, 530643.179000048, 530614.242000057, 176228.891999997, 176140.572999984, 176100.607000025, 176049.954999984, 176022.49199997, 175993, 176007.915000064, 
176033.230000021, 176125.417999975, 176211.245000052, 176183.000000045, 176150.175999963, 176259.635999903, 176379.527000063, 176402.462999969, 176486.094, 176426.983999997, 176324.883000001, 176271.018999943, 176258.902999893, 176228.891999997)))",0.03378461127212476,1,5
E01003094,Lambeth 010C,79028.99667647388,28.17,28.37,27.94,30.543,30.432,1554,1551,1502,1496,1451,1448,1486,1496,1490,1470,1567,1519,19.611407,21.065405,25.5264,24.157647,24.774749,24.033543,23.785084,26.643777,26.643777,4,5,6a,5,5,5,5,6a,6a,519375,528750,1120.6211995398785,17409.95315192115,1,1120.6211995398785,23.785084,27.94,"list(list(c(530346.437000104, 530423.41200001, 530468.999999938, 530459.501999938, 530524.436000041, 530566.51299997, 530600.79800003, 530538.193999948, 530478.827999913, 530453.38999992, 530502.313000105, 530474.31600002, 530492.76299997, 530417.000999974, 530348.077999961, 530290.625999951, 530211.30399997, 530273.871999993, 530239.000000081, 530309.495999958, 530292.645000006, 530328.896999987, 530346.437000104, 176259.636, 176150.176000011, 176183.000000083, 176211.24500003, 176125.417999952, 
176033.230000018, 176007.915000085, 175944.10299998, 176011.93499995, 175992.329999941, 175922.598000066, 175908.924999991, 175884.773000006, 175830, 175974.675000016, 175935.553999954, 176014.931000003, 176100.558000011, 176130.00000001, 176177.363000041, 176190.716999898, 176234.068000101, 176259.636)))",0.02652485910736698,1,6
E01003095,Lambeth 012E,156015.73902942613,26.08,26.08,27.07,22.082,19.761,1854,1832,1668,1688,1770,1794,1780,1787,1773,1743,1634,1611,16.209689,17.267785,20.3382,18.364,20.278571,19.242637,18.423503,21.113254,21.113254,4,4,5,4,5,4,4,5,5,479250,621250,1145.5714089603507,17867.438005135784,1,1145.5714089603507,18.423503,27.07,"list(list(c(529905.000000018, 529970.000000148, 530066.000000097, 530051.160999997, 530085.000000034, 530024.616000037, 529986.734000064, 529910.951999885, 530002.520000057, 529996.813999989, 529967.583999878, 529969.306999991, 529924.614999899, 529953.020000135, 529945.625000062, 529787.383999929, 529728.927000096, 529653.422000033, 529491.400999966, 529543.76199986, 529564.999999887, 529689.000000058, 529753.201999917, 529756.92399993, 529786.75499987, 529905.000000018, 176139.000000023, 176138.000000058, 
176138.000000058, 176112.593999987, 176077.000000087, 175979.947000101, 176002.891000037, 175873.895999889, 175842.811999979, 175804.451999926, 175794.630999886, 175714.127000027, 175711.475999985, 175624.809, 175630.640999907, 175766.973999938, 175816.028000129, 175878.564000065, 176066.498999974, 176082.821999998, 176043.000000074, 176121.998999987, 176187.514000095, 176191.311999964, 176222.734, 176139.000000023)))",0.02592925837694395,1,7
E01003097,Lambeth 006A,98944.43146900088,38.21,41.62,36.22,37.359,32.154,1683,1694,1738,1757,1709,1676,1688,1682,1652,1614,1586,1578,24.674728000000002,26.201302,19.1563,21.229048,28.422735,19.613322,20.96048,28.935457,28.468258,5,6a,4,5,6a,4,5,6a,6a,385500,370000,31.46619775607194,17214.125589902233,1,31.46619775607194,20.96048,36.22,"list(list(c(530211.987000024, 530259.459999937, 530274.542000033, 530330.965999932, 530341.999999981, 530364.532000066, 530384.143000102, 530349.399999977, 530355.309999928, 530371.699999952, 530373.234000037, 530320.537999993, 530320.597000032, 530416.511000062, 530428.664000015, 530398.771999929, 530339.95599996, 530254.711000025, 530240.000000069, 530173.687999929, 530187.184999993, 530146.172999915, 530088.816000041, 530024.421999985, 530025.337000102, 530047.848000004, 530229.000000062, 530231.000999995, 
530065.000000071, 530086.727999978, 530111.000000077, 530185.000000036, 530211.987000024, 177432.767999936, 177395.352000055, 177422.130999976, 177404.463000021, 177370.000000093, 177318.357999962, 177271.483000067, 177237.478999895, 177231.524999903, 177178.076000093, 177153.124000081, 177156.89400007, 177117.497000021, 177125.073999901, 177036.248, 177040.260000098, 177051.422999944, 177061.339999995, 177063.051999918, 177070.765999921, 177132.641000016, 177145.39000008, 177163.218999969, 177183.237000093, 
177186.62999999, 177247.710999905, 177254.999999962, 177282.999999915, 177299.998999908, 177365.580999907, 177490.999999932, 177501.884, 177432.767999936)))",0.03139806541313589,1,8
E01003098,Lambeth 005A,80882.68595391512,31.17,34.76,29.92,25.161,23.401,1565,1545,1586,1620,1578,1546,1529,1509,1509,1506,1489,1438,20.497063,20.014268,20.3637,21.04,27.014479,18.50191,19.03299,29.31913,29.31913,5,5,5,5,6a,4,4,6a,6a,550000,665500,579.9487279452559,16539.309478151892,1,579.9487279452559,19.03299,29.92,"list(list(c(531020.999999914, 531043.570000075, 531019.321000044, 530969.579000076, 530957.788000041, 530894.999999929, 530915.384000065, 530865.966000065, 530802.772000016, 530721.755000036, 530691.956999902, 530662.944000019, 530715.00000008, 530736.875999985, 530712.999999952, 530620.504999925, 530634.000999924, 530648.198000024, 530664.000000071, 530761.912999976, 530777.678999926, 530926.48000009, 530830.661999993, 530862.175000092, 530773.983000083, 530804.570999907, 530849.687000091, 531020.999999914, 
177439.000000031, 177421.241999999, 177398.823000066, 177427.440000014, 177351.485999961, 177253.999999974, 177242.197999959, 177151.746, 177187.638999973, 177233.689000009, 177250.727999892, 177267.507999931, 177351.999999962, 177387.002000025, 177364.000000056, 177408.360000018, 177434.000000048, 177460.924999967, 177490.000000041, 177443.638999973, 177468.748999909, 177431.815999977, 177488.594999905, 177528.465999951, 177570.187000099, 177600.066, 177563.468999992, 177439.000000031)))",0.027520658388945386,1,9
E01003100,Lambeth 005C,105418.14681747556,28.93,29.38,22.39,15.758,16.907,1963,2076,2023,2028,2026,1977,2006,2006,2020,1976,2026,2034,24.977551,24.924237,29.4847,28.307727,29.289609,28.280082,25.121013,33.551411,33.551411,5,5,6a,6a,6a,6a,6a,6a,6a,410750,531250,842.2838407536967,16277.846011437194,1,842.2838407536967,25.121013,22.39,"list(list(c(531290.927000082, 531229.819999958, 531226.460999995, 531216.919000083, 531201.647999999, 531173.553999963, 531159.745999998, 531019.865999934, 530966.149000052, 530898.195999954, 530865.965999918, 530915.383999935, 530895.000000124, 530957.788000099, 530969.578999922, 531019.320999932, 531043.569999879, 531061.833000095, 531172.108999889, 531221.874999958, 531235.444999874, 531290.927000082, 177506.745999974, 177328.285000047, 177317.377999989, 177257.295999978, 177189.759000101, 177185.468999989, 
177183.36099989, 177162.390999977, 177154.775999986, 177133.45, 177151.746000029, 177242.198000052, 177253.999999902, 177351.486000094, 177427.440000061, 177398.823000078, 177421.242000075, 177406.110000065, 177579.234999985, 177669.357, 177659.048000075, 177506.745999974)))",0.02366734292868098,1,10
